time,prey,predators
1.0,15,0
2.0,23,0
3.0,29,0
4.0,31,0
5.0,36,0
6.0,39,0
7.0,38,0
8.0,43,0
9.0,43,0
10.0,43,0
11.0,43,0
12.0,43,0
13.0,40,0
14.0,43,0
15.0,42,1
16.0,42,1
17.0,42,1
18.0,42,1
19.0,41,1
20.0,42,1
21.0,42,1
22.0,42,1
23.0,42,1
24.0,42,1
25.0,41,2
26.0,42,1
27.0,40,3
28.0,40,3
29.0,37,4
30.0,38,3
31.0,37,6
32.0,36,7
33.0,29,9
34.0,8,9
35.0,0,5
36.0,0,0
